Old ID,HR,rMSSD,pNN50,SDNN,HF,LF,LFHF,VLF,ULF,Time,Exp,Participant,Step,Seq,ID,No-Step
PS-9_056_11_06_07_09_36_59_1.csv,80.69381842,40.03322339,22.83950617,51.44982722,341.6757695,599.5707178,1.754794373,131.703187,497.7088645,120.2560654,9,56,11,1,9_56_11_1,56_11_1
PS-9_057_11_06_07_09_56_29_0.csv,67.78453804,33.03055861,11.5942029,49.27715898,221.347471,485.01472,2.191191604,375.7300763,177.7380356,120.8987373,9,57,11,0,9_57_11_0,57_11_0
PS-9_057_11_06_07_09_56_29_1.csv,67.92810928,36.26404567,17.51824818,42.4733327,169.1924001,345.7856452,2.043742184,152.3825701,394.9442402,120.574186,9,57,11,1,9_57_11_1,57_11_1
PS-9_057_11_06_07_09_56_29_2.csv,66.64696662,48.08924926,20.14925373,80.42902402,234.2137332,1546.268011,6.601952794,404.156509,1034.605761,120.6155009,9,57,11,2,9_57_11_2,57_11_2
PS-9_058_11_06_07_12_29_53_0.csv,73.56735499,39.78323965,14.38356164,70.03492073,188.4465668,1241.464695,6.587887039,335.2282152,1516.167894,120.6563155,9,58,11,0,9_58_11_0,58_11_0
PS-9_058_11_06_07_12_29_53_1.csv,73.65576627,26.85212047,7.432432432,38.78836391,136.0442749,350.3563362,2.575311137,254.5208853,156.6517033,120.4614708,9,58,11,1,9_58_11_1,58_11_1
PS-9_060_11_06_07_15_31_50_0.csv,80.69667689,40.72626217,18.125,71.81929611,348.9117567,779.1796053,2.233170967,72.85131832,642.9370867,120.6005037,9,60,11,0,9_60_11_0,60_11_0
PS-9_060_11_06_07_15_31_50_1.csv,79.34000023,40.57045588,13.20754717,52.39805544,223.6004017,863.1366391,3.860174815,693.2918515,341.4188987,120.2099444,9,60,11,1,9_60_11_1,60_11_1
PS-9_061_11_06_07_15_59_09_0.csv,69.52666148,46.53305294,21.9858156,76.27032252,289.3207203,779.7607131,2.695142996,150.8382551,348.9947245,120.1596068,9,61,11,0,9_61_11_0,61_11_0
PS-9_061_11_06_07_15_59_09_1.csv,72.99294554,51.3989314,26.02739726,84.51506891,349.5590764,1728.484947,4.944757736,325.3919482,1123.219837,120.6189999,9,61,11,1,9_61_11_1,61_11_1
PS-9_061_11_06_07_15_59_09_2.csv,72.96768446,52.29986441,19.8630137,99.12037197,420.3183188,1674.278477,3.983358332,2320.344972,670.932645,120.1478006,9,61,11,2,9_61_11_2,61_11_2
PS-9_061_11_06_07_15_59_09_3.csv,72.05861024,53.67993173,32.19178082,90.33872414,513.6064317,2000.910836,3.895805644,177.821702,2027.911814,120.7076315,9,61,11,3,9_61_11_3,61_11_3
PS-9_062_11_06_07_18_25_20_0.csv,74.93177432,47.75514316,26.17449664,77.95324961,381.0689768,434.5474905,1.140338146,942.3402311,1151.125535,120.5699807,9,62,11,0,9_62_11_0,62_11_0
PS-9_062_11_06_07_18_25_20_1.csv,78.92074757,32.50247302,10.75949367,44.86808235,316.7816329,418.9105157,1.322395215,244.6134109,604.5714292,120.5827839,9,62,11,1,9_62_11_1,62_11_1
PS-9_063_11_06_07_18_58_24_0.csv,78.24577976,51.6976545,27.09677419,91.4482527,684.373234,879.0493908,1.284459045,859.3615166,1148.243581,120.0442084,9,63,11,0,9_63_11_0,63_11_0
PS-9_063_11_06_07_18_58_24_1.csv,79.03390157,20.45336419,5,37.18277598,34.06789556,214.0307539,6.282476519,102.6008649,144.5043961,120.6323163,9,63,11,1,9_63_11_1,63_11_1
PS-9_064_11_06_08_09_19_50_0.csv,92.1392862,33.76714174,14.20765027,49.49937759,291.9679987,461.6563154,1.581188067,144.8141928,319.2635901,120.4492322,9,64,11,0,9_64_11_0,64_11_0
PS-9_065_11_06_08_09_57_50_0.csv,77.24985798,51.71925798,25,88.72245151,664.4561947,1114.24721,1.676931029,1778.5585,1481.163102,120.1163359,9,65,11,0,9_65_11_0,65_11_0
PS-9_066_11_06_08_12_49_47_0.csv,86.52019983,30.95861922,10.46511628,48.94427665,185.6694441,425.921798,2.293978958,424.6490405,115.4017247,120.6710226,9,66,11,0,9_66_11_0,66_11_0
PS-9_067_11_06_08_13_12_18_0.csv,72.74519679,18.50112879,2.739726027,24.52886255,44.6078898,63.41753932,1.421666427,35.61555841,61.76709212,120.5564057,9,67,11,0,9_67_11_0,67_11_0
