0,1,2,3,No-step
0.2658351432058784,0.7341648567941216,21.0,21.0,8_21_3
0.2520494328590027,0.7479505671409972,21.0,21.0,9_21_1
0.25813714361850343,0.7418628563814964,21.0,21.0,12_21_1
0.2465464834260089,0.7534535165739912,21.0,21.0,13_21_1
0.26354850956757464,0.7364514904324255,21.0,21.0,13_21_3
0.254775360464878,0.7452246395351221,21.0,21.0,24_21_3
0.2612263431108876,0.7387736568891125,21.0,21.0,30_21_0
0.26496129607664753,0.7350387039233526,21.0,21.0,36_21_1
0.2874345126751683,0.7125654873248318,21.0,21.0,52_21_0
0.2446224457992162,0.7553775542007838,21.0,21.0,52_21_3
0.24100965521574227,0.7589903447842578,21.0,21.0,55_21_0
0.28134655343688936,0.7186534465631107,21.0,21.0,55_21_3
0.26553090157442133,0.7344690984255785,21.0,21.0,56_21_5
0.24091797538169923,0.7590820246183008,21.0,21.0,57_21_3
0.2825046022136388,0.7174953977863611,21.0,21.0,58_21_0
0.2602673128808701,0.7397326871191298,21.0,21.0,64_21_0
0.2736279778513658,0.7263720221486342,21.0,21.0,66_21_2
0.25891813828458543,0.7410818617154148,21.0,21.0,69_21_2
0.25292677202738506,0.7470732279726149,21.0,21.0,69_21_3
0.255569414941713,0.744430585058287,21.0,21.0,75_21_0
0.257929014714774,0.742070985285226,21.0,21.0,79_21_2
0.25951611942971103,0.740483880570289,21.0,21.0,79_21_5
0.24180678356632704,0.7581932164336728,21.0,21.0,80_21_5
0.2554144409710606,0.7445855590289394,21.0,21.0,81_21_2
0.4357168851047663,0.5642831148952338,21.0,11.0,5_11_0
0.24470576118025336,0.7552942388197467,21.0,11.0,5_11_1
0.24814825980390445,0.7518517401960955,21.0,11.0,6_11_1
0.3471002825070972,0.652899717492903,21.0,11.0,7_11_0
0.24778332614876097,0.7522166738512392,21.0,11.0,11_11_1
0.5114026676308435,0.4885973323691567,21.0,11.0,13_11_3
0.31003370154571525,0.6899662984542847,21.0,11.0,15_11_0
0.2483039242276951,0.7516960757723049,21.0,11.0,17_11_1
0.23655746678186138,0.7634425332181385,21.0,11.0,31_11_0
0.2458647461340316,0.7541352538659684,21.0,11.0,34_11_1
0.2646515755420597,0.7353484244579401,21.0,11.0,36_11_0
0.3108028886706091,0.6891971113293907,21.0,11.0,40_11_1
0.28257730476930804,0.7174226952306917,21.0,11.0,43_11_1
0.4039288153489524,0.5960711846510477,21.0,11.0,45_11_3
0.39478552795918154,0.6052144720408184,21.0,11.0,46_11_0
0.1983996259058953,0.8016003740941047,21.0,11.0,53_11_0
