ID,HR,rMSSD,pNN50,SDNN,ln(HF),ln(LF),Time,MAD,MAD_HR
9_4_21_1,77.03686401,40.47376118,22.58064516,72.26842856,2.228154102,2.927944257,120.2525975,30.33388259,0.393758014
10_33_50_1,71.48939527,60.32021099,35.17241379,96.10679425,2.682840702,3.444932389,120.3751603,25.76679951,0.360428276
9_34_21_3,81.74769078,35.67908306,15.6626506,42.84642284,2.630738943,2.765759916,120.5965346,34.0396841,0.416399335
9_6_21_3,77.16692281,28.6542972,8.387096774,42.59762461,1.916018604,2.565346998,120.4704039,28.05742679,0.363593957
9_22_21_4,75.35617873,37.07762674,16.33986928,56.78561859,2.545513554,2.874011931,120.4885341,28.44746283,0.377506706
10_28_50_0,76.65792921,37.7570839,18.83116883,58.76612782,2.419615799,2.88307072,120.1876448,28.96170193,0.377804387
9_11_45_0,76.02539062,53.73715638,26.62337662,69.46489089,2.486630451,3.059452759,120.2219699,33.98060938,0.446963956
9_79_11_1,82.61431031,30.66256246,10.84337349,37.74517994,2.30424656,2.756363748,120.1568247,33.08384205,0.400461396
9_63_21_1,80.88524001,44.0375108,22.36024845,65.77674762,2.76044454,3.011252981,120.0878038,34.10756349,0.421678461
9_64_21_2,85.26488851,24.2439638,6.432748538,37.31365917,1.974090795,2.423520049,120.1383063,25.77722936,0.302319393
10_23_50_1,76.03539588,39.13151156,16.55629139,65.78401332,2.471058215,3.123309896,120.2978023,25.65412006,0.337397074
10_113_50_2,78.96726182,26.0173128,8.176100629,30.96248988,2.08564511,2.094665283,120.4520834,27.70644962,0.350859951
9_29_11_0,85.69335937,43.06493393,18.45238095,71.91135122,2.46854974,2.825480842,120.5545606,35.15213281,0.410208365
9_54_21_1,76.14334367,34.7905025,14.19354839,45.38507449,2.352824609,2.431549121,120.2837428,27.54816047,0.361793417
9_35_21_0,78.57271695,40.15031951,11.03896104,78.24840297,2.333323001,2.721710305,120.6630709,27.1878502,0.346021511
